keyframe_id,collection_id,video_id,frame_number,timestamp_ms,image_path,video_path
L21_V001_000001,L21,L21_V001,0,0,keyframes/L21_V001/001.jpg,
L21_V001_000002,L21,L21_V001,90,3000,keyframes/L21_V001/002.jpg,
L21_V001_000003,L21,L21_V001,261,8700,keyframes/L21_V001/003.jpg,
L21_V001_000004,L21,L21_V001,351,11733,keyframes/L21_V001/004.jpg,
L21_V001_000005,L21,L21_V001,411,13700,keyframes/L21_V001/005.jpg,
L21_V001_000006,L21,L21_V001,531,17700,keyframes/L21_V001/006.jpg,
L21_V001_000007,L21,L21_V001,711,23700,keyframes/L21_V001/007.jpg,
L21_V001_000008,L21,L21_V001,858,28600,keyframes/L21_V001/008.jpg,
L21_V001_000009,L21,L21_V001,921,30700,keyframes/L21_V001/009.jpg,
L21_V001_000010,L21,L21_V001,1131,37700,keyframes/L21_V001/010.jpg,
L21_V001_000011,L21,L21_V001,1281,42700,keyframes/L21_V001/011.jpg,
L21_V001_000012,L21,L21_V001,1371,45700,keyframes/L21_V001/012.jpg,
L21_V001_000013,L21,L21_V001,1551,51700,keyframes/L21_V001/013.jpg,
L21_V001_000014,L21,L21_V001,1761,58700,keyframes/L21_V001/014.jpg,
L21_V001_000015,L21,L21_V001,1887,62900,keyframes/L21_V001/015.jpg,
L21_V001_000016,L21,L21_V001,2036,67867,keyframes/L21_V001/016.jpg,
L21_V001_000017,L21,L21_V001,2130,71033,keyframes/L21_V001/017.jpg,
L21_V001_000018,L21,L21_V001,2217,73900,keyframes/L21_V001/018.jpg,
L21_V001_000019,L21,L21_V001,2288,76267,keyframes/L21_V001/019.jpg,
L21_V001_000020,L21,L21_V001,2375,79167,keyframes/L21_V001/020.jpg,
L21_V001_000021,L21,L21_V001,2412,80400,keyframes/L21_V001/021.jpg,
L21_V001_000022,L21,L21_V001,2574,85833,keyframes/L21_V001/022.jpg,
L21_V001_000023,L21,L21_V001,2720,90667,keyframes/L21_V001/023.jpg,
L21_V001_000024,L21,L21_V001,2766,92233,keyframes/L21_V001/024.jpg,
L21_V001_000025,L21,L21_V001,2856,95233,keyframes/L21_V001/025.jpg,
L21_V001_000026,L21,L21_V001,2958,98633,keyframes/L21_V001/026.jpg,
L21_V001_000027,L21,L21_V001,3150,105033,keyframes/L21_V001/027.jpg,
L21_V001_000028,L21,L21_V001,3243,108100,keyframes/L21_V001/028.jpg,
L21_V001_000029,L21,L21_V001,3348,111600,keyframes/L21_V001/029.jpg,
L21_V001_000030,L21,L21_V001,3507,116900,keyframes/L21_V001/030.jpg,
L21_V001_000031,L21,L21_V001,3584,119467,keyframes/L21_V001/031.jpg,
L21_V001_000032,L21,L21_V001,3599,119967,keyframes/L21_V001/032.jpg,
L21_V001_000033,L21,L21_V001,3738,124600,keyframes/L21_V001/033.jpg,
L21_V001_000034,L21,L21_V001,3782,126067,keyframes/L21_V001/034.jpg,
L21_V001_000035,L21,L21_V001,3932,131067,keyframes/L21_V001/035.jpg,
L21_V001_000036,L21,L21_V001,4037,134567,keyframes/L21_V001/036.jpg,
